wn,1,2,3,4,5,6
3955.19,-10.2106,10.2106,10.2106,91.8954,25.5265,102.106
3954.7,30.6274,20.4183,30.6274,-10.2091,76.5685,25.5228
3954.21,51.0383,-5.10383,5.10383,-10.2077,61.246,86.7652
3953.72,30.6186,15.3093,51.031,71.4434,35.7217,35.7217
3953.23,35.7166,-5.10237,-40.8189,66.3308,25.5118,-25.5118
3952.74,-40.8131,10.2033,61.2196,66.3212,71.4229,30.6098
3952.25,127.522,-5.1009,40.8072,51.009,71.4126,-5.1009
3951.76,66.3022,15.3005,56.1018,-5.10017,56.1018,-5.10017
3951.27,-20.3977,0,25.4972,122.386,-10.1989,20.3977
3950.78,71.3818,-5.0987,-20.3948,35.6909,40.7896,81.5792
3950.29,20.3919,-5.09797,45.8817,101.959,107.057,30.5878
3949.8,71.3613,5.09723,50.9723,0,152.917,56.0696
3949.31,96.8335,5.0965,61.158,66.2545,50.965,40.772
3948.82,86.6281,0,71.3408,35.6704,117.203,122.298
3948.33,91.7107,20.3801,-30.5702,96.8057,15.2851,91.7107
3947.84,45.8487,-5.0943,117.169,61.1316,66.2259,66.2259
3947.34,15.2807,20.3743,25.4679,56.0293,66.2164,30.5614
3946.85,86.5783,5.09284,81.4854,127.321,0,50.9284
3946.36,40.7369,20.3684,86.5658,45.829,61.1053,112.026
3945.87,76.3706,-5.09137,20.3655,25.4569,-15.2741,50.9137
3945.38,61.0877,0,50.9064,55.9971,91.6316,86.5409
3944.89,-15.2697,10.1798,40.7193,35.6294,61.0789,-20.3596
3944.4,91.6052,15.2675,137.408,71.2485,15.2675,76.3377
3943.91,71.2383,10.1769,45.796,20.3538,30.5307,-25.4422
3943.42,96.6666,20.3509,30.5263,147.544,101.754,30.5263
3942.92,25.4349,20.3479,66.1308,-5.08698,10.174,66.1308
3942.43,111.898,35.6038,55.9488,86.4663,30.5175,45.7763
3941.94,61.0262,5.08552,20.3421,10.171,106.796,5.08552
3941.45,0,0,35.5935,0,45.7631,66.1022
3940.96,76.2609,-10.1681,-15.2522,25.4203,142.354,50.8406
3940.47,86.4165,10.1667,66.0832,81.3332,71.1666,86.4165
3939.97,66.0737,20.3304,45.7433,101.652,162.643,5.08259
3939.48,96.5554,10.1637,-25.4093,121.965,10.1637,76.2279
3938.99,91.4604,25.4057,81.2981,71.1358,15.2434,0
3938.5,35.5628,0,-45.7236,30.4824,-20.3216,0
3938.01,71.1154,15.239,20.3187,10.1593,40.6374,106.673
3937.51,66.0262,-15.2368,0,35.5526,35.5526,-45.7105
3937.02,5.07821,0,76.1731,40.6257,76.1731,-10.1564
3936.53,35.5423,0,10.155,101.55,60.9297,86.3171
3936.04,55.8442,-5.07675,-55.8442,20.307,20.307,10.1535
3935.54,35.5321,5.07602,-30.4561,45.6841,30.4561,101.52
3935.05,15.2259,-10.1506,30.4517,65.9787,5.07529,91.3552
3934.56,111.64,10.1491,81.1929,40.5964,25.3728,-15.2237
3934.07,65.9597,10.1477,76.1074,0,40.5906,60.8859
3933.57,20.2924,-15.2193,71.0233,45.6579,45.6579,-55.804
3933.08,55.796,5.07237,25.3618,10.1447,40.5789,86.2302
3932.59,20.2865,-10.1433,81.1462,25.3582,-10.1433,5.07164
3932.09,10.1418,-5.07091,-5.07091,45.6381,20.2836,25.3545
3931.6,-10.1404,15.2105,-5.07018,-25.3509,30.4211,-30.4211
3931.11,45.625,15.2083,15.2083,131.806,96.3195,65.9028
3930.61,65.8933,-10.1374,25.3436,91.2369,25.3436,65.8933
3930.12,86.1558,15.204,-25.3399,15.204,35.4759,50.6799
