wn,1,2,3,4,5,6
3725.88804,0.03437,0.04021,0.0501,0.0679,0.05415,0.0348
3723.95953,0.03447,0.0403,0.05016,0.068,0.05432,0.03489
3722.03102,0.03469,0.04042,0.0503,0.06819,0.05449,0.03508
3720.1025,0.03496,0.04056,0.05041,0.06841,0.0547,0.03531
3718.17399,0.03523,0.0407,0.05057,0.06865,0.05502,0.0355
3716.24547,0.03549,0.04086,0.0508,0.0689,0.05523,0.03574
3714.31696,0.03572,0.04112,0.05106,0.06916,0.05545,0.03607
3712.38845,0.036,0.04146,0.05132,0.06941,0.05576,0.03648
3710.45993,0.03633,0.04177,0.05158,0.06966,0.05611,0.03688
3708.53142,0.03662,0.04204,0.05181,0.06999,0.05644,0.03722
3706.60291,0.03686,0.04238,0.05198,0.0704,0.05679,0.0375
3704.67439,0.03718,0.04279,0.05222,0.07085,0.05724,0.0378
3702.74588,0.03766,0.04321,0.05263,0.07132,0.05771,0.03819
3700.81737,0.03825,0.04365,0.05314,0.07178,0.05824,0.03864
3698.88885,0.03887,0.04419,0.05367,0.07221,0.05878,0.0392
3696.96034,0.03948,0.04483,0.05418,0.07265,0.05932,0.03987
3695.03183,0.04011,0.04549,0.05469,0.07317,0.05995,0.04056
3693.10331,0.04088,0.04618,0.05519,0.07387,0.0608,0.04125
3691.1748,0.04173,0.04689,0.05574,0.07471,0.06175,0.04195
3689.24629,0.04249,0.0476,0.05639,0.0755,0.06254,0.04268
3687.31777,0.04319,0.0484,0.05716,0.07628,0.06326,0.04353
3685.38926,0.044,0.0494,0.05803,0.07716,0.06415,0.0445
3683.46075,0.04496,0.05043,0.05894,0.07812,0.06519,0.04549
3681.53223,0.04601,0.05134,0.0598,0.07913,0.06626,0.04653
3679.60372,0.04714,0.0523,0.06066,0.0802,0.06741,0.04772
3677.67521,0.04837,0.05352,0.06165,0.08128,0.06865,0.04899
3675.74669,0.04972,0.05493,0.06286,0.0824,0.06993,0.05028
3673.81818,0.05116,0.05628,0.06416,0.08363,0.07122,0.05161
3671.88966,0.05262,0.0576,0.06545,0.08497,0.07255,0.05299
3669.96115,0.05406,0.05898,0.06666,0.08636,0.07402,0.0544
3668.03264,0.0556,0.0605,0.06793,0.08785,0.07558,0.05593
3666.10412,0.05723,0.06213,0.06939,0.08944,0.07714,0.05759
3664.17561,0.05884,0.06378,0.07092,0.09103,0.07872,0.05931
3662.2471,0.06042,0.06546,0.07239,0.09254,0.08041,0.06102
3660.31858,0.06206,0.06714,0.0738,0.09403,0.08221,0.06268
3658.39007,0.06375,0.06878,0.07523,0.09555,0.08396,0.06431
3656.46156,0.06544,0.07035,0.07671,0.09705,0.0856,0.0659
3654.53304,0.06714,0.0719,0.07812,0.09858,0.08726,0.06749
3652.60453,0.06882,0.07359,0.07953,0.10021,0.08898,0.06916
3650.67602,0.07052,0.07541,0.08105,0.10183,0.09063,0.07096
3648.7475,0.07231,0.07713,0.08261,0.10334,0.09222,0.07278
3646.81899,0.07414,0.07871,0.08414,0.10483,0.0939,0.07451
3644.89048,0.07588,0.08032,0.08561,0.1064,0.09566,0.07614
3642.96196,0.07753,0.08197,0.08705,0.10805,0.09739,0.07773
3641.03345,0.07925,0.08363,0.08852,0.10964,0.09906,0.07945
3639.10494,0.08099,0.08525,0.09005,0.11113,0.10071,0.08129
3637.17642,0.08265,0.08682,0.09157,0.11264,0.10235,0.08308
3635.24791,0.0842,0.08839,0.09301,0.11419,0.10391,0.08472
3633.3194,0.08571,0.08996,0.09433,0.11564,0.10546,0.08621
3631.39088,0.08725,0.09153,0.09566,0.11701,0.10707,0.08767
3629.46237,0.08885,0.0931,0.09712,0.11836,0.10863,0.08923
3627.53385,0.09043,0.09458,0.09862,0.11975,0.11023,0.09073
3625.60534,0.09189,0.09602,0.10004,0.12115,0.1117,0.09217
3623.67683,0.09329,0.09755,0.10143,0.12253,0.1132,0.09368
3621.74831,0.09477,0.09908,0.10285,0.12395,0.11481,0.09532
3619.8198,0.09637,0.10058,0.10431,0.12544,0.11636,0.09697
3617.89129,0.098,0.10211,0.10584,0.12696,0.11785,0.09847
3615.96277,0.09959,0.10366,0.10738,0.12841,0.11928,0.0999
3614.03426,0.10111,0.10516,0.10882,0.12983,0.12071,0.10139
3612.10575,0.10258,0.1066,0.11019,0.13131,0.12219,0.10291
3610.17723,0.10403,0.10804,0.11159,0.13275,0.12373,0.10441
3608.24872,0.1055,0.10951,0.11304,0.13412,0.12527,0.10595
3606.32021,0.10699,0.111,0.11447,0.13542,0.12679,0.1075
3604.39169,0.10848,0.11254,0.11587,0.13674,0.12833,0.10895
3602.46318,0.11001,0.11412,0.11725,0.13819,0.12993,0.11042
3600.53467,0.11158,0.1157,0.11868,0.13965,0.13155,0.11197
3598.60615,0.11312,0.11725,0.12017,0.14097,0.1331,0.11354
3596.67764,0.11463,0.11877,0.12167,0.14228,0.13465,0.11507
3594.74913,0.11621,0.12026,0.12318,0.14376,0.13625,0.11657
3592.82061,0.1179,0.12178,0.12472,0.14531,0.1378,0.11812
3590.8921,0.11953,0.12333,0.12626,0.14679,0.13927,0.11977
3588.96359,0.12099,0.12491,0.12784,0.14829,0.14086,0.12142
3587.03507,0.12244,0.12651,0.12944,0.14989,0.14261,0.12301
3585.10656,0.12407,0.12814,0.13101,0.15152,0.1443,0.12459
3583.17804,0.1258,0.12981,0.13258,0.15305,0.14585,0.12622
3581.24953,0.12749,0.13144,0.13419,0.15446,0.14744,0.12788
3579.32102,0.12914,0.13302,0.13583,0.15584,0.14912,0.12954
3577.3925,0.13083,0.1347,0.13748,0.15729,0.15078,0.13121
3575.46399,0.13257,0.13651,0.13915,0.15885,0.15249,0.13291
3573.53548,0.13431,0.13823,0.14073,0.16049,0.15428,0.13462
3571.60696,0.136,0.1398,0.14224,0.16213,0.15607,0.13627
3569.67845,0.13766,0.14144,0.14383,0.16379,0.15787,0.13792
3567.74994,0.1394,0.14326,0.14555,0.16538,0.15974,0.13969
3565.82142,0.14119,0.14511,0.14726,0.16693,0.16159,0.14153
3563.89291,0.14303,0.14693,0.14893,0.16857,0.16331,0.14335
3561.9644,0.14495,0.14882,0.15074,0.17031,0.16501,0.14516
3560.03588,0.14688,0.15076,0.15267,0.17201,0.16684,0.147
3558.10737,0.14869,0.15259,0.15446,0.17365,0.16874,0.14881
3556.17886,0.15042,0.15425,0.15612,0.17532,0.17062,0.15057
3554.25034,0.15221,0.15588,0.15781,0.17702,0.17252,0.15235
3552.32183,0.154,0.15759,0.15946,0.17869,0.17442,0.15416
3550.39332,0.15572,0.15944,0.16104,0.18032,0.17627,0.15602
3548.4648,0.15751,0.1614,0.16275,0.18206,0.1781,0.15797
3546.53629,0.15946,0.16334,0.16464,0.18391,0.18,0.15994
3544.60778,0.16145,0.16517,0.16658,0.18569,0.18196,0.16183
